GAME_ID,TEAM_ID,STAR_AVAILABLE
0022200438,1610612746,1
0022200438,1610612764,1
0022200439,1610612748,2
0022200439,1610612759,2
0022200440,1610612739,2
0022200440,1610612742,0
0022200441,1610612745,2
0022200441,1610612757,2
0022200442,1610612749,1
0022200442,1610612762,2
0022200443,1610612763,1
0022200443,1610612760,0
0022200444,1610612740,1
0022200444,1610612756,1
0022200445,1610612738,1
0022200445,1610612753,2
0022200446,1610612754,2
0022200446,1610612752,2
0022200447,1610612751,0
0022200447,1610612765,1
0022200448,1610612744,1
0022200448,1610612761,2
0022200449,1610612741,2
0022200449,1610612750,1
0022200450,1610612766,2
0022200450,1610612743,2
0022200451,1610612747,1
0022200451,1610612764,2
0022200452,1610612739,2
0022200452,1610612762,2
0022200453,1610612755,2
0022200453,1610612761,2
0022200454,1610612737,2
0022200454,1610612753,2
0022200455,1610612745,2
0022200455,1610612759,1
0022200456,1610612742,1
0022200456,1610612750,1
0022200457,1610612749,2
0022200457,1610612740,1
0022200458,1610612760,1
0022200458,1610612757,2
0022200459,1610612747,0
0022200459,1610612756,1
0022200460,1610612766,1
0022200460,1610612758,2
0022200461,1610612765,1
0022200461,1610612762,2
0022200462,1610612741,2
0022200462,1610612748,1
0022200463,1610612744,1
0022200463,1610612752,2
0022200464,1610612756,1
0022200464,1610612764,2
0022200465,1610612743,1
0022200465,1610612763,1
0022200466,1610612739,2
0022200466,1610612749,2
0022200467,1610612765,1
0022200467,1610612755,2
0022200468,1610612737,3
0022200468,1610612741,3
0022200469,1610612738,3
0022200469,1610612754,3
0022200470,1610612751,0
0022200470,1610612744,1
0022200471,1610612752,2
0022200471,1610612761,2
0022200472,1610612745,2
0022200472,1610612753,2
0022200473,1610612742,3
0022200473,1610612750,3
0022200474,1610612760,3
0022200474,1610612757,3
0022200475,1610612747,3
0022200475,1610612758,3
0022200476,1610612766,3
0022200476,1610612746,3
0022200477,1610612740,3
0022200477,1610612759,3
0022200478,1610612762,3
0022200478,1610612764,3
0022200479,1610612753,3
0022200479,1610612759,3
0022200480,1610612746,3
0022200480,1610612755,3
0022200481,1610612737,3
0022200481,1610612765,3
0022200482,1610612738,3
0022200482,1610612750,3
0022200483,1610612751,3
0022200483,1610612749,3
0022200484,1610612739,3
0022200484,1610612761,3
0022200485,1610612741,3
0022200485,1610612752,3
0022200486,1610612754,2
0022200486,1610612748,2
0022200487,1610612742,1
0022200487,1610612745,2
0022200488,1610612740,3
0022200488,1610612760,3
0022200489,1610612743,2
0022200489,1610612757,2
0022200490,1610612763,2
0022200490,1610612756,0
0022200491,1610612758,2
0022200491,1610612764,2
0022200492,1610612766,2
0022200492,1610612747,1
0022200493,1610612752,2
0022200493,1610612755,2
0022200494,1610612742,1
0022200494,1610612747,1
0022200495,1610612738,2
0022200495,1610612749,2
0022200496,1610612744,1
0022200496,1610612763,2
0022200497,1610612743,2
0022200497,1610612756,1
0022200498,1610612751,0
0022200498,1610612739,2
0022200499,1610612765,1
0022200499,1610612746,1
0022200500,1610612748,3
0022200500,1610612750,3
0022200501,1610612741,2
0022200501,1610612745,2
0022200502,1610612754,2
0022200502,1610612740,0
0022200503,1610612759,3
0022200503,1610612762,3
0022200504,1610612766,2
0022200504,1610612757,2
0022200505,1610612747,1
0022200505,1610612753,2
0022200506,1610612755,3
0022200506,1610612764,3
0022200507,1610612738,2
0022200507,1610612745,2
0022200508,1610612737,2
0022200508,1610612754,2
0022200509,1610612746,2
0022200509,1610612761,2
0022200510,1610612763,2
0022200510,1610612756,0
